INDEX,VARIABLE,LABEL,IGNORE,VALUE_RANGE
001_008,A008,"Feeling of happiness ",,"1:Very happy
2:Quite happy
3:Not very happy
4:Not at all happy
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_009,A009,"State of health (subjective) 
",,"1:Very good
2:Good
3:Fair
4:Poor
5:Very poor
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_029,A029,"Important child qualities: independence 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_030,A030,"Important child qualities: hard work 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_032,A032,"Important child qualities: feeling of responsibility 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_034,A034,"Important child qualities: imagination 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_035,A035,"Important child qualities: tolerance and respect for other people 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_038,A038,"Important child qualities: thrift saving money and things 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_039,A039,"Important child qualities: determination perseverance 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_040,A040,"Important child qualities: religious faith 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_041,A041,"Important child qualities: unselfishness 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_042,A042,"Important child qualities: obedience 
",,"0:Not mentioned
1:Important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_131_002,A124_02,"Neighbours: People of a different race 
",,"0:Not mentioned
1:Mentioned
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_131_003,A124_03,"Neighbours: Heavy drinkers 
",,"0:Not mentioned
1:Mentioned
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_131_006,A124_06,"Neighbours: Immigrants/foreign workers 
",,"0:Not mentioned
1:Mentioned
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_132,A165,"Most people can be trusted 
",,"1:Most people can be trusted
2:Can´t be too careful
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_138,A170,"Satisfaction with your life 
",,"1:Dissatisfied
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Satisfied
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
001_141,A173,"How much freedom of choice and control 
",,"1:None at all
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:A great deal
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
003_006,C006,"Satisfaction with financial situation of household 
",,"1:Dissatisfied
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Satisfied
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_003,E003,"Aims of respondent: first choice 
",,"1:Maintaining order in the nation
2:Give people more say
3:Fighting rising prices
4:Protecting freedom of speech
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_004,E004,"Aims of respondent: second choice 
",,"1:Maintaining order in the nation
2:Give people more say
3:Fighting rising prices
4:Protecting freedom of speech
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_012,E012,"Willingness to fight for country 
",,"0:No
1:Yes
2:Depends
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_015,E015,"Future changes: Less importance placed on work 
",,"1:Good thing
2:Don´t mind
3:Bad thing
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_016,E016,"Future changes: More emphasis on technology 
",,"1:Good thing
2:Don´t mind
3:Bad thing
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_018,E018,"Future changes: Greater respect for authority 
",,"1:Good thing
2:Don´t mind
3:Bad thing
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_023,E023,"Interest in politics 
",,"1:Very interested
2:Somewhat interested
3:Not very interested
4:Not at all interested
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_025,E025,"Political action: signing a petition 
",,"1:Have done
2:Might do
3:Would never do
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_027,E026,"Political action: joining in boycotts 
",,"1:Have done
2:Might do
3:Would never do
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_029,E027,"Political action: attending lawful/peaceful demonstrations 
",,"1:Have done
2:Might do
3:Would never do
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_036,E033,"Self positioning in political scale 
",,"1:Left
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Right
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_001,E069_01,"Confidence: Churches 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_002,E069_02,"Confidence: Armed Forces 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_004,E069_04,"Confidence: The Press 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_005,E069_05,"Confidence: Labour Unions 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_006,E069_06,"Confidence: The Police 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_007,E069_07,"Confidence: Parliament 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_008,E069_08,"Confidence: The Civil Services 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
005_072_013,E069_13,"Confidence: Major Companies 
",,"1:A great deal
2:Quite a lot
3:Not very much
4:None at all
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_001,F001,"Thinking about meaning and purpose of life 
",,"1:Often
2:Sometimes
3:Rarely
4:Never
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
