INDEX,VARIABLE,LABEL,World Values Survey wave 1 (1981-1984),World Values Survey wave 2 (1990-1994),World Values Survey Wave 3 (1995-1998),World Values Survey wave 4 (1999-2004),World Values Survey wave 5 (2005-2008),World Values Survey wave 6 (2010-2012)
001_008,A008,"Feeling of happiness 
",v10 Feeling of happiness,v18 Feeling of happiness,V10 Feeling of happiness,v11 State of mind,V10 Feeling of happiness,V10 Feeling of happiness
001_009,A009,"State of health (subjective) 
",v11 State of health (subjective),v83 State of health (subjective),V11 State of health,v12 State of health,V11 State of health (subjective),V11 State of health (subjective)
001_029,A029,"Important child qualities: independence 
",v15 Important child qualities: independence,v227 Important child qualities: independence,V15 Children qualities: Independence,v15 Child qual: Independence,V12 Child qualities: independence,V12 Important child qualities: independence
001_030,A030,"Important child qualities: hard work 
",v16 Important child qualities: hard work,v228 Important child qualities: hard work,V16 Children qualities: Hard work,v16 Child qual: Hard work,V13 Child qualities: hard work,V13 Important child qualities: Hard work
001_032,A032,"Important child qualities: feeling of responsibility 
",v17 Important child qualities: feeling of responsibility,v229 Important child qualities: feeling of responsibility,V17 Children qualities: Responsibility,v17 Child qual: Feeling of responsibility,V14 Child qualities: feeling of responsibility,V14 Important child qualities: Feeling of responsibility
001_034,A034,"Important child qualities: imagination 
",v18 Important child qualities: imagination,v230 Important child qualities: imagination,V18 Children qualities: Imagination,v18 Child qual: Imagination,V15 Child qualities: imagination,V15 Important child qualities: Imagination
001_035,A035,"Important child qualities: tolerance and respect for other people 
",v19 Important child qualities: tolerance and respect for other people,v231 Important child qualities: tolerance and respect for other people,V19 Children qualities: Tolerance and respect for other people,v19 Child qual: Tolerance and respect for other people,V16 Child qualities: tolerance and respect for other people,V16 Important child qualities: Tolerance and respect for other people
001_038,A038,"Important child qualities: thrift saving money and things 
",v20 Important child qualities: thrift saving money and things,v232 Important child qualities: thrift saving money and things,"V20 Children qualities: Thrift, saving money and things",v20 Child qual: Thrift saving money and things,V17 Child qualities: thrift saving money and things,V17 Important child qualities: Thrift saving money and things
001_039,A039,"Important child qualities: determination perseverance 
",v21 Important child qualities: determination perseverance,v233 Important child qualities: determination perseverance,"V21 Children qualities: Determination, perseverance",v21 Child qual: Determination perseverance,V18 Child qualities: determination perseverance,"V18 Important child qualities: Determination, perseverance"
001_040,A040,"Important child qualities: religious faith 
",v22 Important child qualities: religious faith,v234 Important child qualities: religious faith,V22 Children qualities: Religious faith,v22 Child qual: Religious faith,V19 Child qualities: religious faith,V19 Important child qualities: Religious faith
001_041,A041,"Important child qualities: unselfishness 
",v23 Important child qualities: unselfishness,v235 Important child qualities: unselfishness,V23 Children qualities: Unselfishness,v23 Child qual: Unselfishness,V20 Child qualities: unselfishness,V20 Important child qualities: Unselfishness
001_042,A042,"Important child qualities: obedience 
",v24 Important child qualities: obedience,v236 Important child qualities: obedience,V24 Children qualities: Obedience,v24 Child qual: Obedience,V21 Child qualities: obedience,V21 Important child qualities: Obedience
001_131_002,A124_02,"Neighbours: People of a different race 
",v52 Neighbours: People of a different race,v70 Neighbours: People of a different race,V52 Neighbors: People of different race,v69 Neighbors: People of a different race,V35 Neighbours: People of a different race,V37 Would not like to have as neighbors: People of a different race
001_131_003,A124_03,"Neighbours: Heavy drinkers 
",v54 Neighbours: Heavy drinkers,v72 Neighbours: Heavy drinkers,V54 Neighbors: Heavy drinkers,v70 Neighbors: Heavy drinkers,V40 Neighbours: Heavy drinkers,V42 Would not like to have as neighbors: Heavy drinkers
